FIRST,SECOND,THIRD,FOURTH,FIFTH
Stiva,Stepan Arkadyevich,Stepan Oblonsky,Stepan Arkadyevich Oblonsky,Stepan
Dolly,Darya Alexandrovna,Darya Oblonskaya,Darya Alexandrovna Oblonskaya,Darya
Tanya,/,/,/,/
Grisha,/,/,/,/
Lily,/,/,/,/
Princess Varvara,Varvara,/,/,/
Princess Katerina Pavlovna,Katerina Pavlovna,Katerina,/,/
Prince Peter Oblonsky,Peter Oblonsky,Peter,/,/
Matvei,/,/,/,/
Matryona Filimonovna,Matryona,/,/,/
Princess Marya Borisovna,Marya Borisovna,Marya,/,/
Mikhail Stanislavich Grinevich,Mikhail Stanislavich,Mikhail,/,/
Filipp Ivanovich Nikitin,Filipp Ivanovich,Filipp,/,/
Zakhar Nikitich,Zakhar,/,/,/
Alexander Dmitrievich,/,/,/,/
Natalie,Natalya Alexandrovna,Natalya,Natalya Shcherbatskaya,Natalie Scherbatskaya
Kitty,Katerina Alexandrovna,Katerina,Katerina Shcherbatskaya,Kitty Scherbatskaya
Nikolai Shcherbatsky,Nikolai,/,/,/
Mademoiselle Linon,Linon,/,/,/
Countess Nordston,Nordston,/,/,/
Countess Bohl,Bohl,/,/,/
Madame Stahl,Stahl,/,/,/
Mademoiselle Varenka,Varenka,Varvara Andreyevna,/,/
Turovtsyn,/,/,/,/
Petrov,/,/,/,/
Anna Pavlovna Petrova,Anna Pavlovna,/,/,/
Alexei Alexandrovich Karenin,Alexei Alexandrovich,Alexei Karenin,Alexei,Karenin
Anna Arkadyevna Karenina,Anna Arkadyevna,Anna Karenina,Anna,Karenina
Seryozha,Sergei Alexeyevich,Sergei Karenin,/,/
Annushka,/,/,/,/
Kapitonich,/,/,/,/
Mikhail Vasilyevich Slyudin,Mikhail Vasilyevich,Slyudin,Mikhail,/
Vasily Lukich,Lukich,Vasily,/,/
Countess Lydia Ivanovna,Lydia Ivanovna,Lydia,/,/
Stremov,/,/,/,/
Hannah,/,/,/,/
Alexei Kirillovich Vronsky,Alexei Vronsky,Vronsky,Alexei Kirillovich,Alexei
Alexander Kirillovich Vronsky,Alexander Vronsky,Alexander Vronsky,Alexander Kirillovich,/
Varya,/,/,/,/
Kirill Ivanovich Vronsky,Kirill Ivanovich,Kirill Vronsky,Kirill,/
Countess Vronskaya,Vronskaya,Countess,/,/
Princess Betsy,Betsy,Elizaveta Fyodorovna,Tverskaya,/
Tushkevich,/,/,/,/
Princess Myahkaya,Myahkaya,/,/,/
Liza Merkalova,Liza,/,/,/
Sappho Stolz,Sappho,/,/,/
Petritsky,/,/,/,/
Baroness Shilton,Shilton,/,/,/
Yashvin,/,/,/,/
Prince Serpukhovskoi,Serpukhovskoi,/,/,/
Golenishchev,/,/,/,/
Kostya,Konstantin Dmitrievich Levin,Konstantin Dmitrievich,Levin,Konstantin
Nikolai Dmitrievich Levin,Nikolai Dmitrievich,Nikolai Levin,Nikolai,/
Sergei Ivanovich Koznyshev,Sergei Koznyshev,Sergei,Sergei Ivanovich,/
Agafya Mikhailovna,Agafya,/,/,/
Kuzma,/,/,/,/
Masha,Marya Nikolaevna,Marya,/,/
Nikolai Ivanovich Sviyazhsky,Sviyazhsky,Nikolai Ivanovich,Nikolai Sviyazhsky,/
Stepan Vasilyevich,/,/,/,/
Fyodor Vasilyevich, Mikhail Semyonovich,Katavasov,/,/
Chirikov,/,/,/,/
Mikhail Stepanovich Snetkov,Mikhail Stepanovich,Snetkov,/,/
Peter Ivanovich Metrov,Peter Ivanovich,Metrov,/,/
Titus,Tit,/,/,/
Mikhailov,/,/,/,/
Madame Mikhailova,Mikhailova,/,/,/
Vasenka Veslovsky,Vasenka,Veslovsky,/,/
Nevedovsky,/,/,/,/
Jules Landau,Count Bezzubov,Bezzubov,Landau,/
Princess Sorokina,Sorokina,/,/,/
Masha Chibikova,Chibikova,/,/,/
Annie,/,/,/,/
Mitya,/,/,/,/
Krak,/,/,/,/
